 fecha,evangelio,mensaje,tiempo_liturgico
2026-01-01,"El nombre que le pusieron fue Jesús. (Lc 2,21)",Dios entró al mundo con un nombre no con un título.¿Conoces su nombre o solo su religión?Llámalo por su nombre hoy. Una vez. En serio.,Tiempo de Navidad
2026-01-02,"Yo no soy el Cristo. (Jn 1,20)",Saber quién no eres es el inicio de la honestidad.¿Cuántas veces te has hecho pasar por alguien que no eres?Renuncia hoy a una máscara que ya no te pertenece.,Tiempo de Navidad
2026-01-03,"Este es el Cordero de Dios, que quita el pecado del mundo. (Jn 1,29)",El pecado no te define. Alguien ya cargó con él.¿Sigues pagando una deuda que ya fue saldada?Suelta una culpa que llevas más tiempo del necesario.,Tiempo de Navidad
2026-01-04,"Vengan y vean. (Jn 1,39)",La fe no se explica. Se experimenta.¿Hablas de Dios o lo has encontrado de verdad?Busca hoy un momento de silencio real. Sin pantalla.,Tiempo de Navidad
2026-01-05,"¿De Nazaret puede salir algo bueno? (Jn 1,46)",Tus orígenes no son tu destino.¿Quién te ha dicho que de donde vienes no se puede llegar lejos?Actúa hoy desde quien eres no desde de dónde vienes.,Tiempo de Navidad
2026-01-06,"Hemos visto su estrella y venimos a adorarlo. (Mt 2,2)",Los que buscan de verdad encuentran. Los que solo preguntan se quedan.¿Estás buscando a Dios o solo hablando de buscarlo?Da un paso concreto hacia algo que llevas tiempo posponiendo.,Epifanía del Señor
2026-01-07,"No tienen para comer. (Mc 6,36)",Lo poco que tienes en manos de Dios alcanza para todos.¿Retienes lo que tienes por miedo a que no sea suficiente?Comparte algo hoy aunque te parezca poco.,Tiempo de Navidad
2026-01-08,"Era yo. No teman. (Mc 6,50)",El miedo desaparece cuando reconoces quién está contigo en la tormenta.¿A qué tormenta le sigues teniendo miedo sin haberlo invitado a ella?Nombra en voz alta tu miedo más persistente. Díselo a él.,Tiempo de Navidad
2026-01-09,"Hoy se ha cumplido esta Escritura. (Lc 4,21)",Dios no promete para mañana lo que puede darte hoy.¿Estás esperando un momento perfecto que nunca llega?Actúa hoy sobre algo que creías que podías dejar para después.,Tiempo de Navidad
2026-01-10,"¡Cállate y sal de él! (Lc 4,35)",Algunas cosas solo se resuelven con una orden no con una negociación.¿Qué hábito o pensamiento tóxico sigues tolerando en lugar de expulsar?Identifica algo que debas cortar de raíz y da el primer paso hoy.,Tiempo de Navidad
2026-01-11,"Tú eres mi Hijo amado, en ti me complazco. (Lc 3,22)",Antes de hacer nada ya eres amado. Eso no se gana.¿Vives tratando de merecer lo que ya te fue dado gratuitamente?Recibe hoy sin justificarlo. Solo recibe.,Bautismo del Señor
2026-01-12,"Sígueme. (Mc 1,17)",La llamada de Dios no pide currículum. Pide disponibilidad.¿Cuántos requisitos te estás poniendo antes de decir sí?Di sí a algo que llevas tiempo esquivando por creer que no estás listo.,Tiempo Ordinario I
2026-01-13,"Enseñaba con autoridad, no como los escribas. (Mc 1,22)",La diferencia entre quien convence y quien transforma es que uno habla desde adentro.¿Vives tu fe desde la convicción o desde la costumbre?Haz algo hoy que nazca de convicción no de obligación.,Tiempo Ordinario I
2026-01-14,"Oraba. (Mc 1,35)",Jesús con todo su poder necesitaba orar. ¿Tú no?¿Cuándo fue la última vez que te detuviste a escuchar en lugar de pedir?Dedica 5 minutos al silencio antes de hablar con Dios.,Tiempo Ordinario I
2026-01-15,"Si quieres, puedes limpiarme. (Mc 1,40)",La audacia de pedir lo imposible es ya una forma de fe.¿Qué necesidad real llevas callada por miedo a parecer demasiado?Pide hoy algo que creías que no merecías pedir.,Tiempo Ordinario I
2026-01-16,"¿Qué es más fácil, decir: tus pecados te son perdonados o decir: levántate y anda? (Mc 2,9)",El perdón y la sanación van juntos. No se puede dividir al ser humano.¿Estás buscando sanación física mientras ignoras lo que cargas por dentro?Ocúpate hoy de una herida interior que has dejado sin atender.,Tiempo Ordinario I
2026-01-17,"No son los sanos los que necesitan médico, sino los enfermos. (Mc 2,17)",La iglesia no es un club de perfectos. Es una sala de emergencias.¿Sientes que no encajas porque eres demasiado imperfecto?Acércate hoy a alguien que estás juzgando sin conocer su historia.,Tiempo Ordinario I
2026-01-18,"Hagan lo que él les diga. (Jn 2,5)",La obediencia a Dios no te quita vida. Te la da.¿Cuántas instrucciones de Dios has ignorado porque no entendías el porqué?Obedece hoy algo que sientes que Dios te pide aunque no tenga sentido aún.,II Domingo del Tiempo Ordinario
2026-01-19,"El vino nuevo se echa en odres nuevos. (Mc 2,22)",No puedes recibir algo nuevo si te aferras a lo viejo con ambas manos.¿Qué estructura hábito o relación caducada sigues sosteniendo por miedo al vacío?Suelta hoy algo viejo para hacer espacio a algo nuevo.,Tiempo Ordinario II
2026-01-20,"El sábado fue hecho para el hombre, y no el hombre para el sábado. (Mc 2,27)",Las normas sirven a la vida. Cuando la ahogan algo falla.¿Cuántas reglas religiosas llevas que pesan más de lo que liberan?Revisa una norma que cumples por miedo y pregúntate si la comprendes.,Tiempo Ordinario II
2026-01-21,"¿Es lícito en sábado hacer el bien o hacer el mal? (Mc 3,4)",Hay silencios que son complicidad con el daño.¿Cuándo fue la última vez que no dijiste algo importante por no incomodar?Di hoy lo que callas por comodidad con respeto pero con claridad.,Tiempo Ordinario II
2026-01-22,"Una gran muchedumbre lo seguía. (Mc 3,7)",No todos los que siguen a Jesús lo conocen. No todos los que lo conocen lo siguen.¿Sigues a Jesús o simplemente sigues la corriente de los que lo siguen?Pregúntate hoy por qué crees lo que crees. No lo des por sentado.,Tiempo Ordinario II
2026-01-23,"Llamó a los que él quiso. (Mc 3,13)",No fuiste elegido porque eras el mejor. Fuiste elegido porque él lo quiso.¿Sientes que no mereces ser llamado? Él ya decidió que sí.Actúa hoy desde la certeza de que fuiste escogido no desde el miedo a no serlo.,Tiempo Ordinario II
2026-01-24,"Está fuera de sí. (Mc 3,21)",Vivir el Evangelio de verdad siempre parece una locura para el mundo.¿Has domesticado tu fe para que no incomode a nadie?Haz hoy algo generoso que te haga parecer un poco loco. Intencionalmente.,Tiempo Ordinario II
2026-01-25,"El Espíritu del Señor está sobre mí me ha enviado a anunciar la liberación. (Lc 4,18)",La fe no es retiro del mundo. Es misión dentro de él.¿Para quién eres hoy la buena noticia que el Evangelio promete?Identifica a alguien que necesita liberación y sé parte de esa historia.,III Domingo del Tiempo Ordinario
2026-01-26,"Todo reino dividido contra sí mismo quedará asolado. (Mc 3,24)",Una vida dividida entre lo que crees y cómo vives no puede sostenerse.¿Hay contradicción entre lo que profesas y lo que practicas?Elige hoy ser coherente en una cosa concreta.,Tiempo Ordinario III
2026-01-27,"El que hace la voluntad de Dios, ese es mi hermano. (Mc 3,35)",La familia espiritual se elige por lo que se hace no por el apellido que se lleva.¿Con quién compartes vida real de fe no solo formalidades?Fortalece hoy un vínculo basado en valores compartidos no en obligación.,Tiempo Ordinario III
2026-01-28,"La semilla cayó en tierra buena y dio fruto. (Mc 4,8)",El problema no es la semilla. El problema suele ser el suelo.¿Qué está endureciendo tu corazón para recibir lo que Dios quiere darte?Trabaja hoy tu tierra interior: menos ruido más silencio fértil.,Tiempo Ordinario III
2026-01-29,"Miren lo que oyen. (Mc 4,24)",No todo lo que escuchas merece el mismo espacio en tu mente.¿De qué fuentes te estás alimentando y qué están produciendo en ti?Silencia hoy una voz que te está restando en lugar de sumarte.,Tiempo Ordinario III
2026-01-30,"El reino de Dios crece solo, aunque el sembrador duerma. (Mc 4,27)",No siempre tienes que controlar para que las cosas funcionen.¿Cuánta energía gastas en controlar lo que no está en tus manos?Confía hoy en un proceso que sembraste y deja crecer sin forzar.,Tiempo Ordinario III
